County,Year,Value
ALAMEDA,2001,81799434
ALAMEDA,2002,82586379
ALAMEDA,2003,85770014
ALAMEDA,2004,86759897
ALAMEDA,2005,88531458
ALAMEDA,2006,91123342
ALAMEDA,2007,92343105
ALAMEDA,2008,92642910
ALAMEDA,2009,88331445
ALAMEDA,2010,91371069
ALAMEDA,2011,93209610
ALAMEDA,2012,95749481
ALAMEDA,2013,98669945
ALAMEDA,2014,102333785
ALAMEDA,2015,109421599
ALAMEDA,2016,112943702
ALAMEDA,2017,119117078
ALAMEDA,2018,123718310
ALPINE,2001,77007
ALPINE,2002,79634
ALPINE,2003,81083
ALPINE,2004,78131
ALPINE,2005,79197
ALPINE,2006,80164
ALPINE,2007,87598
ALPINE,2008,84430
ALPINE,2009,81534
ALPINE,2010,85967
ALPINE,2011,96195
ALPINE,2012,95294
ALPINE,2013,91773
ALPINE,2014,98299
ALPINE,2015,100790
ALPINE,2016,99622
ALPINE,2017,99643
ALPINE,2018,100131
AMADOR,2001,1256091
AMADOR,2002,1448926
AMADOR,2003,1586696
AMADOR,2004,1636165
AMADOR,2005,1615188
AMADOR,2006,1595595
AMADOR,2007,1561085
AMADOR,2008,1538746
AMADOR,2009,1485666
AMADOR,2010,1460247
AMADOR,2011,1441492
AMADOR,2012,1365613
AMADOR,2013,1406048
AMADOR,2014,1419857
AMADOR,2015,1445500
AMADOR,2016,1489618
AMADOR,2017,1570431
AMADOR,2018,1585410
BUTTE,2001,6436131
BUTTE,2002,6868645
BUTTE,2003,7143910
BUTTE,2004,7237914
BUTTE,2005,7395227
BUTTE,2006,7651114
BUTTE,2007,7523603
BUTTE,2008,7351131
BUTTE,2009,7548295
BUTTE,2010,7576197
BUTTE,2011,7508928
BUTTE,2012,7363012
BUTTE,2013,7413059
BUTTE,2014,7309623
BUTTE,2015,7600549
BUTTE,2016,8084983
BUTTE,2017,8434322
BUTTE,2018,8543593
CALAVERAS,2001,1118369
CALAVERAS,2002,1190691
CALAVERAS,2003,1203472
CALAVERAS,2004,1173038
CALAVERAS,2005,1153564
CALAVERAS,2006,1115192
CALAVERAS,2007,1096762
CALAVERAS,2008,1079245
CALAVERAS,2009,1032893
CALAVERAS,2010,1125485
CALAVERAS,2011,1135901
CALAVERAS,2012,1050964
CALAVERAS,2013,1017875
CALAVERAS,2014,1115450
CALAVERAS,2015,1155026
CALAVERAS,2016,1242125
CALAVERAS,2017,1292735
CALAVERAS,2018,1238320
COLUSA,2001,865406
COLUSA,2002,806110
COLUSA,2003,1048359
COLUSA,2004,867310
COLUSA,2005,894007
COLUSA,2006,946468
COLUSA,2007,952575
COLUSA,2008,1244268
COLUSA,2009,1516543
COLUSA,2010,1292276
COLUSA,2011,1317517
COLUSA,2012,1197262
COLUSA,2013,1283035
COLUSA,2014,1067543
COLUSA,2015,1307706
COLUSA,2016,1294753
COLUSA,2017,1199687
COLUSA,2018,1408034
CONTRA COSTA,2001,67604311
CONTRA COSTA,2002,67365933
CONTRA COSTA,2003,68037682
CONTRA COSTA,2004,71374693
CONTRA COSTA,2005,77435260
CONTRA COSTA,2006,77426264
CONTRA COSTA,2007,74993127
CONTRA COSTA,2008,92104079
CONTRA COSTA,2009,80291378
CONTRA COSTA,2010,71784332
CONTRA COSTA,2011,62111669
CONTRA COSTA,2012,62207407
CONTRA COSTA,2013,63766282
CONTRA COSTA,2014,68582988
CONTRA COSTA,2015,69342707
CONTRA COSTA,2016,68732088
CONTRA COSTA,2017,71878033
CONTRA COSTA,2018,76615513
DEL NORTE,2001,605354
DEL NORTE,2002,611450
DEL NORTE,2003,633803
DEL NORTE,2004,666610
DEL NORTE,2005,680125
DEL NORTE,2006,783601
DEL NORTE,2007,795493
DEL NORTE,2008,854071
DEL NORTE,2009,731731
DEL NORTE,2010,730738
DEL NORTE,2011,726312
DEL NORTE,2012,694371
DEL NORTE,2013,681876
DEL NORTE,2014,678597
DEL NORTE,2015,687045
DEL NORTE,2016,706293
DEL NORTE,2017,688089
DEL NORTE,2018,709056
EL DORADO,2001,5284067
EL DORADO,2002,5709892
EL DORADO,2003,5828543
EL DORADO,2004,6061352
EL DORADO,2005,6182343
EL DORADO,2006,6360255
EL DORADO,2007,6235833
EL DORADO,2008,6213848
EL DORADO,2009,6060324
EL DORADO,2010,6077003
EL DORADO,2011,6196566
EL DORADO,2012,5984844
EL DORADO,2013,6059506
EL DORADO,2014,6254485
EL DORADO,2015,6432666
EL DORADO,2016,6908588
EL DORADO,2017,7238157
EL DORADO,2018,7471362
FRESNO,2001,28184530
FRESNO,2002,30398297
FRESNO,2003,32093105
FRESNO,2004,32709314
