Disease,County,Year,MALE,FEMALE
Amebiasis,ALAMEDA,2001,9,7
Amebiasis,ALAMEDA,2002,5,4
Amebiasis,ALAMEDA,2003,5,1
Amebiasis,ALAMEDA,2004,4,3
Amebiasis,ALAMEDA,2005,4,5
Amebiasis,ALAMEDA,2006,5,1
Amebiasis,ALAMEDA,2007,7,2
Amebiasis,ALAMEDA,2008,7,2
Amebiasis,ALAMEDA,2009,14,1
Amebiasis,ALAMEDA,2010,20,4
Amebiasis,ALAMEDA,2011,13,7
Amebiasis,ALAMEDA,2012,19,8
Amebiasis,ALAMEDA,2013,7,5
Amebiasis,ALAMEDA,2014,10,2
Amebiasis,ALAMEDA,2015,37,28
Amebiasis,ALAMEDA,2016,29,33
Amebiasis,ALAMEDA,2017,32,24
Amebiasis,ALAMEDA,2018,42,25
Amebiasis,ALPINE,2001,0,0
Amebiasis,ALPINE,2002,0,0
Amebiasis,ALPINE,2003,0,0
Amebiasis,ALPINE,2004,0,0
Amebiasis,ALPINE,2005,0,0
Amebiasis,ALPINE,2006,0,0
Amebiasis,ALPINE,2007,0,0
Amebiasis,ALPINE,2008,0,0
Amebiasis,ALPINE,2009,0,0
Amebiasis,ALPINE,2010,0,0
Amebiasis,ALPINE,2011,0,0
Amebiasis,ALPINE,2012,0,0
Amebiasis,ALPINE,2013,0,0
Amebiasis,ALPINE,2014,0,0
Amebiasis,ALPINE,2015,0,0
Amebiasis,ALPINE,2016,0,0
Amebiasis,ALPINE,2017,0,0
Amebiasis,ALPINE,2018,0,0
Amebiasis,AMADOR,2001,0,0
Amebiasis,AMADOR,2002,0,0
Amebiasis,AMADOR,2003,0,0
Amebiasis,AMADOR,2004,0,0
Amebiasis,AMADOR,2005,0,0
Amebiasis,AMADOR,2006,0,0
Amebiasis,AMADOR,2007,0,0
Amebiasis,AMADOR,2008,0,0
Amebiasis,AMADOR,2009,0,0
Amebiasis,AMADOR,2010,0,0
Amebiasis,AMADOR,2011,0,0
Amebiasis,AMADOR,2012,0,0
Amebiasis,AMADOR,2013,0,0
Amebiasis,AMADOR,2014,0,0
Amebiasis,AMADOR,2015,0,0
Amebiasis,AMADOR,2016,0,0
Amebiasis,AMADOR,2017,0,0
Amebiasis,AMADOR,2018,0,0
Amebiasis,BUTTE,2001,1,1
Amebiasis,BUTTE,2002,0,0
Amebiasis,BUTTE,2003,0,0
Amebiasis,BUTTE,2004,2,0
Amebiasis,BUTTE,2005,3,2
Amebiasis,BUTTE,2006,1,1
Amebiasis,BUTTE,2007,2,1
Amebiasis,BUTTE,2008,0,0
Amebiasis,BUTTE,2009,0,0
Amebiasis,BUTTE,2010,0,0
Amebiasis,BUTTE,2011,2,1
Amebiasis,BUTTE,2012,0,0
Amebiasis,BUTTE,2013,1,2
Amebiasis,BUTTE,2014,0,0
Amebiasis,BUTTE,2015,2,0
Amebiasis,BUTTE,2016,0,0
Amebiasis,BUTTE,2017,0,0
Amebiasis,BUTTE,2018,2,3
Amebiasis,CALAVERAS,2001,0,0
Amebiasis,CALAVERAS,2002,0,0
Amebiasis,CALAVERAS,2003,0,0
Amebiasis,CALAVERAS,2004,0,0
Amebiasis,CALAVERAS,2005,0,0
Amebiasis,CALAVERAS,2006,0,0
Amebiasis,CALAVERAS,2007,0,0
Amebiasis,CALAVERAS,2008,,
Amebiasis,CALAVERAS,2009,0,0
Amebiasis,CALAVERAS,2010,0,0
Amebiasis,CALAVERAS,2011,0,0
Amebiasis,CALAVERAS,2012,0,0
Amebiasis,CALAVERAS,2013,0,0
Amebiasis,CALAVERAS,2014,0,0
Amebiasis,CALAVERAS,2015,0,0
Amebiasis,CALAVERAS,2016,0,0
Amebiasis,CALAVERAS,2017,0,0
Amebiasis,CALAVERAS,2018,0,0
Amebiasis,COLUSA,2001,0,0
Amebiasis,COLUSA,2002,0,0
Amebiasis,COLUSA,2003,0,0
Amebiasis,COLUSA,2004,0,0
Amebiasis,COLUSA,2005,0,0
Amebiasis,COLUSA,2006,0,0
Amebiasis,COLUSA,2007,0,0
Amebiasis,COLUSA,2008,0,0
Amebiasis,COLUSA,2009,0,0
Amebiasis,COLUSA,2010,0,0
Amebiasis,COLUSA,2011,0,0
Amebiasis,COLUSA,2012,0,0
Amebiasis,COLUSA,2013,0,0
Amebiasis,COLUSA,2014,0,0
Amebiasis,COLUSA,2015,0,0
Amebiasis,COLUSA,2016,0,0
Amebiasis,COLUSA,2017,0,0
Amebiasis,COLUSA,2018,0,0
Amebiasis,CONTRA COSTA,2001,3,2
Amebiasis,CONTRA COSTA,2002,2,3
Amebiasis,CONTRA COSTA,2003,3,1
Amebiasis,CONTRA COSTA,2004,6,1
Amebiasis,CONTRA COSTA,2005,5,2
Amebiasis,CONTRA COSTA,2006,0,1
Amebiasis,CONTRA COSTA,2007,6,1
Amebiasis,CONTRA COSTA,2008,2,3
Amebiasis,CONTRA COSTA,2009,4,2
Amebiasis,CONTRA COSTA,2010,7,4
Amebiasis,CONTRA COSTA,2011,3,4
Amebiasis,CONTRA COSTA,2012,4,2
Amebiasis,CONTRA COSTA,2013,12,1
Amebiasis,CONTRA COSTA,2014,1,3
